"","V1","V2","V3","V4","V5","V6","V7"
"2","1","1","1","1","1","2","unacc"
"3","1","1","1","1","1","3","unacc"
"4","1","1","1","1","2","1","unacc"
"5","1","1","1","1","2","2","unacc"
"7","1","1","1","1","3","1","unacc"
"8","1","1","1","1","3","2","unacc"
"10","1","1","1","2","1","1","unacc"
"11","1","1","1","2","1","2","unacc"
"15","1","1","1","2","2","3","unacc"
"16","1","1","1","2","3","1","unacc"
"17","1","1","1","2","3","2","unacc"
"18","1","1","1","2","3","3","unacc"
"19","1","1","1","3","1","1","unacc"
"20","1","1","1","3","1","2","unacc"
"21","1","1","1","3","1","3","unacc"
"22","1","1","1","3","2","1","unacc"
"23","1","1","1","3","2","2","unacc"
"24","1","1","1","3","2","3","unacc"
"26","1","1","1","3","3","2","unacc"
"27","1","1","1","3","3","3","unacc"
"28","1","1","2","1","1","1","unacc"
"29","1","1","2","1","1","2","unacc"
"30","1","1","2","1","1","3","unacc"
"32","1","1","2","1","2","2","unacc"
"33","1","1","2","1","2","3","unacc"
"34","1","1","2","1","3","1","unacc"
"35","1","1","2","1","3","2","unacc"
"37","1","1","2","2","1","1","unacc"
"38","1","1","2","2","1","2","unacc"
"40","1","1","2","2","2","1","unacc"
"43","1","1","2","2","3","1","unacc"
"44","1","1","2","2","3","2","unacc"
"45","1","1","2","2","3","3","unacc"
"46","1","1","2","3","1","1","unacc"
"47","1","1","2","3","1","2","unacc"
"48","1","1","2","3","1","3","unacc"
"49","1","1","2","3","2","1","unacc"
"50","1","1","2","3","2","2","unacc"
"51","1","1","2","3","2","3","unacc"
"53","1","1","2","3","3","2","unacc"
"54","1","1","2","3","3","3","unacc"
"56","1","1","3","1","1","2","unacc"
"58","1","1","3","1","2","1","unacc"
"60","1","1","3","1","2","3","unacc"
"61","1","1","3","1","3","1","unacc"
"62","1","1","3","1","3","2","unacc"
"64","1","1","3","2","1","1","unacc"
"65","1","1","3","2","1","2","unacc"
"67","1","1","3","2","2","1","unacc"
"68","1","1","3","2","2","2","unacc"
"69","1","1","3","2","2","3","unacc"
"70","1","1","3","2","3","1","unacc"
"71","1","1","3","2","3","2","unacc"
"72","1","1","3","2","3","3","unacc"
"73","1","1","3","3","1","1","unacc"
"74","1","1","3","3","1","2","unacc"
"75","1","1","3","3","1","3","unacc"
"77","1","1","3","3","2","2","unacc"
"80","1","1","3","3","3","2","unacc"
"81","1","1","3","3","3","3","unacc"
"82","1","1","4","1","1","1","unacc"
"83","1","1","4","1","1","2","unacc"
"84","1","1","4","1","1","3","unacc"
"85","1","1","4","1","2","1","unacc"
"86","1","1","4","1","2","2","unacc"
"87","1","1","4","1","2","3","unacc"
"90","1","1","4","1","3","3","unacc"
"91","1","1","4","2","1","1","unacc"
"93","1","1","4","2","1","3","unacc"
"94","1","1","4","2","2","1","unacc"
"95","1","1","4","2","2","2","unacc"
"96","1","1","4","2","2","3","unacc"
"97","1","1","4","2","3","1","unacc"
"98","1","1","4","2","3","2","unacc"
"99","1","1","4","2","3","3","unacc"
"100","1","1","4","3","1","1","unacc"
"101","1","1","4","3","1","2","unacc"
"103","1","1","4","3","2","1","unacc"
"104","1","1","4","3","2","2","unacc"
"105","1","1","4","3","2","3","unacc"
"106","1","1","4","3","3","1","unacc"
"107","1","1","4","3","3","2","unacc"
"108","1","1","4","3","3","3","unacc"
"109","1","2","1","1","1","1","unacc"
"110","1","2","1","1","1","2","unacc"
"111","1","2","1","1","1","3","unacc"
"112","1","2","1","1","2","1","unacc"
"113","1","2","1","1","2","2","unacc"
"114","1","2","1","1","2","3","unacc"
"115","1","2","1","1","3","1","unacc"
"116","1","2","1","1","3","2","unacc"
"117","1","2","1","1","3","3","unacc"
"118","1","2","1","2","1","1","unacc"
"119","1","2","1","2","1","2","unacc"
"121","1","2","1","2","2","1","unacc"
"122","1","2","1","2","2","2","unacc"
"123","1","2","1","2","2","3","unacc"
"124","1","2","1","2","3","1","unacc"
"125","1","2","1","2","3","2","unacc"
"127","1","2","1","3","1","1","unacc"
"129","1","2","1","3","1","3","unacc"
"131","1","2","1","3","2","2","unacc"
"134","1","2","1","3","3","2","unacc"
"135","1","2","1","3","3","3","unacc"
"136","1","2","2","1","1","1","unacc"
"137","1","2","2","1","1","2","unacc"
"138","1","2","2","1","1","3","unacc"
"139","1","2","2","1","2","1","unacc"
"140","1","2","2","1","2","2","unacc"
"141","1","2","2","1","2","3","unacc"
"142","1","2","2","1","3","1","unacc"
"143","1","2","2","1","3","2","unacc"
"144","1","2","2","1","3","3","unacc"
"145","1","2","2","2","1","1","unacc"
"146","1","2","2","2","1","2","unacc"
"148","1","2","2","2","2","1","unacc"
"149","1","2","2","2","2","2","unacc"
"150","1","2","2","2","2","3","unacc"
"151","1","2","2","2","3","1","unacc"
"152","1","2","2","2","3","2","unacc"
"153","1","2","2","2","3","3","unacc"
"154","1","2","2","3","1","1","unacc"
"155","1","2","2","3","1","2","unacc"
"156","1","2","2","3","1","3","unacc"
"158","1","2","2","3","2","2","unacc"
"159","1","2","2","3","2","3","unacc"
"160","1","2","2","3","3","1","unacc"
"161","1","2","2","3","3","2","unacc"
"162","1","2","2","3","3","3","unacc"
"163","1","2","3","1","1","1","unacc"
"164","1","2","3","1","1","2","unacc"
"165","1","2","3","1","1","3","unacc"
"166","1","2","3","1","2","1","unacc"
"167","1","2","3","1","2","2","unacc"
"168","1","2","3","1","2","3","unacc"
"170","1","2","3","1","3","2","unacc"
"173","1","2","3","2","1","2","unacc"
"174","1","2","3","2","1","3","unacc"
"175","1","2","3","2","2","1","unacc"
"176","1","2","3","2","2","2","unacc"
"177","1","2","3","2","2","3","unacc"
"178","1","2","3","2","3","1","unacc"
"179","1","2","3","2","3","2","unacc"
"180","1","2","3","2","3","3","unacc"
"181","1","2","3","3","1","1","unacc"
"182","1","2","3","3","1","2","unacc"
"183","1","2","3","3","1","3","unacc"
"184","1","2","3","3","2","1","unacc"
"185","1","2","3","3","2","2","unacc"
"186","1","2","3","3","2","3","unacc"
"187","1","2","3","3","3","1","unacc"
"188","1","2","3","3","3","2","unacc"
"190","1","2","4","1","1","1","unacc"
"191","1","2","4","1","1","2","unacc"
"192","1","2","4","1","1","3","unacc"
"193","1","2","4","1","2","1","unacc"
"194","1","2","4","1","2","2","unacc"
"195","1","2","4","1","2","3","unacc"
"196","1","2","4","1","3","1","unacc"
"197","1","2","4","1","3","2","unacc"
"198","1","2","4","1","3","3","unacc"
"199","1","2","4","2","1","1","unacc"
"200","1","2","4","2","1","2","unacc"
"201","1","2","4","2","1","3","unacc"
"202","1","2","4","2","2","1","unacc"
"203","1","2","4","2","2","2","unacc"
"204","1","2","4","2","2","3","unacc"
"205","1","2","4","2","3","1","unacc"
"206","1","2","4","2","3","2","unacc"
"207","1","2","4","2","3","3","unacc"
"208","1","2","4","3","1","1","unacc"
"209","1","2","4","3","1","2","unacc"
"210","1","2","4","3","1","3","unacc"
"211","1","2","4","3","2","1","unacc"
"212","1","2","4","3","2","2","unacc"
"214","1","2","4","3","3","1","unacc"
"216","1","2","4","3","3","3","unacc"
"217","1","3","1","1","1","1","unacc"
"218","1","3","1","1","1","2","unacc"
"219","1","3","1","1","1","3","unacc"
"221","1","3","1","1","2","2","unacc"
"222","1","3","1","1","2","3","unacc"
"224","1","3","1","1","3","2","unacc"
"225","1","3","1","1","3","3","unacc"
"226","1","3","1","2","1","1","unacc"
"227","1","3","1","2","1","2","unacc"
"228","1","3","1","2","1","3","acc"
"230","1","3","1","2","2","2","unacc"
"232","1","3","1","2","3","1","unacc"
"233","1","3","1","2","3","2","acc"
"234","1","3","1","2","3","3","acc"
"235","1","3","1","3","1","1","unacc"
"236","1","3","1","3","1","2","unacc"
"237","1","3","1","3","1","3","unacc"
"238","1","3","1","3","2","1","unacc"
"241","1","3","1","3","3","1","unacc"
"242","1","3","1","3","3","2","acc"
"243","1","3","1","3","3","3","acc"
"244","1","3","2","1","1","1","unacc"
"246","1","3","2","1","1","3","unacc"
"247","1","3","2","1","2","1","unacc"
"248","1","3","2","1","2","2","unacc"
"249","1","3","2","1","2","3","unacc"
"250","1","3","2","1","3","1","unacc"
"251","1","3","2","1","3","2","unacc"
"253","1","3","2","2","1","1","unacc"
"254","1","3","2","2","1","2","unacc"
"255","1","3","2","2","1","3","acc"
"256","1","3","2","2","2","1","unacc"
"257","1","3","2","2","2","2","unacc"
"258","1","3","2","2","2","3","acc"
"260","1","3","2","2","3","2","acc"
"262","1","3","2","3","1","1","unacc"
"264","1","3","2","3","1","3","acc"
"265","1","3","2","3","2","1","unacc"
"266","1","3","2","3","2","2","acc"
"267","1","3","2","3","2","3","acc"
"268","1","3","2","3","3","1","unacc"
"269","1","3","2","3","3","2","acc"
"271","1","3","3","1","1","1","unacc"
"272","1","3","3","1","1","2","unacc"
"273","1","3","3","1","1","3","unacc"
"274","1","3","3","1","2","1","unacc"
"275","1","3","3","1","2","2","unacc"
"276","1","3","3","1","2","3","unacc"
"278","1","3","3","1","3","2","unacc"
"279","1","3","3","1","3","3","unacc"
"280","1","3","3","2","1","1","unacc"
"281","1","3","3","2","1","2","unacc"
"282","1","3","3","2","1","3","acc"
"283","1","3","3","2","2","1","unacc"
"284","1","3","3","2","2","2","acc"
"285","1","3","3","2","2","3","acc"
"286","1","3","3","2","3","1","unacc"
"287","1","3","3","2","3","2","acc"
"289","1","3","3","3","1","1","unacc"
"290","1","3","3","3","1","2","unacc"
"292","1","3","3","3","2","1","unacc"
"293","1","3","3","3","2","2","acc"
"294","1","3","3","3","2","3","acc"
"295","1","3","3","3","3","1","unacc"
"296","1","3","3","3","3","2","acc"
"297","1","3","3","3","3","3","acc"
"298","1","3","4","1","1","1","unacc"
"299","1","3","4","1","1","2","unacc"
"300","1","3","4","1","1","3","unacc"
"301","1","3","4","1","2","1","unacc"
"302","1","3","4","1","2","2","unacc"
"303","1","3","4","1","2","3","unacc"
"304","1","3","4","1","3","1","unacc"
"305","1","3","4","1","3","2","unacc"
"306","1","3","4","1","3","3","unacc"
"307","1","3","4","2","1","1","unacc"
"309","1","3","4","2","1","3","acc"
"310","1","3","4","2","2","1","unacc"
"311","1","3","4","2","2","2","acc"
"312","1","3","4","2","2","3","acc"
"313","1","3","4","2","3","1","unacc"
"314","1","3","4","2","3","2","acc"
"317","1","3","4","3","1","2","unacc"
"318","1","3","4","3","1","3","acc"
"320","1","3","4","3","2","2","acc"
"323","1","3","4","3","3","2","acc"
"324","1","3","4","3","3","3","acc"
"325","1","4","1","1","1","1","unacc"
"327","1","4","1","1","1","3","unacc"
"328","1","4","1","1","2","1","unacc"
"330","1","4","1","1","2","3","unacc"
"331","1","4","1","1","3","1","unacc"
"332","1","4","1","1","3","2","unacc"
"333","1","4","1","1","3","3","unacc"
"334","1","4","1","2","1","1","unacc"
"335","1","4","1","2","1","2","unacc"
"337","1","4","1","2","2","1","unacc"
"338","1","4","1","2","2","2","unacc"
"340","1","4","1","2","3","1","unacc"
"341","1","4","1","2","3","2","acc"
"342","1","4","1","2","3","3","acc"
"343","1","4","1","3","1","1","unacc"
"344","1","4","1","3","1","2","unacc"
"345","1","4","1","3","1","3","unacc"
"346","1","4","1","3","2","1","unacc"
"347","1","4","1","3","2","2","unacc"
"351","1","4","1","3","3","3","acc"
"352","1","4","2","1","1","1","unacc"
"353","1","4","2","1","1","2","unacc"
"354","1","4","2","1","1","3","unacc"
"355","1","4","2","1","2","1","unacc"
"357","1","4","2","1","2","3","unacc"
"358","1","4","2","1","3","1","unacc"
"359","1","4","2","1","3","2","unacc"
"360","1","4","2","1","3","3","unacc"
"361","1","4","2","2","1","1","unacc"
"362","1","4","2","2","1","2","unacc"
"363","1","4","2","2","1","3","acc"
"364","1","4","2","2","2","1","unacc"
"365","1","4","2","2","2","2","unacc"
"366","1","4","2","2","2","3","acc"
"367","1","4","2","2","3","1","unacc"
"368","1","4","2","2","3","2","acc"
"369","1","4","2","2","3","3","acc"
"370","1","4","2","3","1","1","unacc"
"371","1","4","2","3","1","2","unacc"
"372","1","4","2","3","1","3","acc"
"373","1","4","2","3","2","1","unacc"
"374","1","4","2","3","2","2","acc"
"375","1","4","2","3","2","3","acc"
"376","1","4","2","3","3","1","unacc"
"377","1","4","2","3","3","2","acc"
"378","1","4","2","3","3","3","acc"
"379","1","4","3","1","1","1","unacc"
"380","1","4","3","1","1","2","unacc"
"381","1","4","3","1","1","3","unacc"
"382","1","4","3","1","2","1","unacc"
"383","1","4","3","1","2","2","unacc"
"384","1","4","3","1","2","3","unacc"
"386","1","4","3","1","3","2","unacc"
"387","1","4","3","1","3","3","unacc"
"388","1","4","3","2","1","1","unacc"
"389","1","4","3","2","1","2","unacc"
"392","1","4","3","2","2","2","acc"
"393","1","4","3","2","2","3","acc"
"394","1","4","3","2","3","1","unacc"
"396","1","4","3","2","3","3","acc"
"397","1","4","3","3","1","1","unacc"
"399","1","4","3","3","1","3","acc"
"400","1","4","3","3","2","1","unacc"
"401","1","4","3","3","2","2","acc"
"402","1","4","3","3","2","3","acc"
"405","1","4","3","3","3","3","acc"
"406","1","4","4","1","1","1","unacc"
"407","1","4","4","1","1","2","unacc"
"408","1","4","4","1","1","3","unacc"
"410","1","4","4","1","2","2","unacc"
"412","1","4","4","1","3","1","unacc"
"414","1","4","4","1","3","3","unacc"
"415","1","4","4","2","1","1","unacc"
"418","1","4","4","2","2","1","unacc"
"419","1","4","4","2","2","2","acc"
"421","1","4","4","2","3","1","unacc"
"422","1","4","4","2","3","2","acc"
"423","1","4","4","2","3","3","acc"
"424","1","4","4","3","1","1","unacc"
"425","1","4","4","3","1","2","unacc"
"426","1","4","4","3","1","3","acc"
"427","1","4","4","3","2","1","unacc"
"428","1","4","4","3","2","2","acc"
"429","1","4","4","3","2","3","acc"
"430","1","4","4","3","3","1","unacc"
"431","1","4","4","3","3","2","acc"
"432","1","4","4","3","3","3","acc"
"433","2","1","1","1","1","1","unacc"
"434","2","1","1","1","1","2","unacc"
"435","2","1","1","1","1","3","unacc"
"436","2","1","1","1","2","1","unacc"
"437","2","1","1","1","2","2","unacc"
"439","2","1","1","1","3","1","unacc"
"440","2","1","1","1","3","2","unacc"
"441","2","1","1","1","3","3","unacc"
"445","2","1","1","2","2","1","unacc"
"446","2","1","1","2","2","2","unacc"
"448","2","1","1","2","3","1","unacc"
"449","2","1","1","2","3","2","unacc"
"450","2","1","1","2","3","3","unacc"
"451","2","1","1","3","1","1","unacc"
"452","2","1","1","3","1","2","unacc"
"453","2","1","1","3","1","3","unacc"
"457","2","1","1","3","3","1","unacc"
"458","2","1","1","3","3","2","unacc"
"459","2","1","1","3","3","3","unacc"
"460","2","1","2","1","1","1","unacc"
"461","2","1","2","1","1","2","unacc"
"462","2","1","2","1","1","3","unacc"
"463","2","1","2","1","2","1","unacc"
"464","2","1","2","1","2","2","unacc"
"465","2","1","2","1","2","3","unacc"
"466","2","1","2","1","3","1","unacc"
"467","2","1","2","1","3","2","unacc"
"468","2","1","2","1","3","3","unacc"
"469","2","1","2","2","1","1","unacc"
"470","2","1","2","2","1","2","unacc"
"471","2","1","2","2","1","3","unacc"
"472","2","1","2","2","2","1","unacc"
"474","2","1","2","2","2","3","unacc"
"476","2","1","2","2","3","2","unacc"
"477","2","1","2","2","3","3","unacc"
"478","2","1","2","3","1","1","unacc"
"480","2","1","2","3","1","3","unacc"
"482","2","1","2","3","2","2","unacc"
"483","2","1","2","3","2","3","unacc"
"484","2","1","2","3","3","1","unacc"
"485","2","1","2","3","3","2","unacc"
"486","2","1","2","3","3","3","unacc"
"487","2","1","3","1","1","1","unacc"
"489","2","1","3","1","1","3","unacc"
"490","2","1","3","1","2","1","unacc"
"491","2","1","3","1","2","2","unacc"
"492","2","1","3","1","2","3","unacc"
"494","2","1","3","1","3","2","unacc"
"497","2","1","3","2","1","2","unacc"
"498","2","1","3","2","1","3","unacc"
"499","2","1","3","2","2","1","unacc"
"500","2","1","3","2","2","2","unacc"
"501","2","1","3","2","2","3","unacc"
"502","2","1","3","2","3","1","unacc"
"503","2","1","3","2","3","2","unacc"
"504","2","1","3","2","3","3","unacc"
"505","2","1","3","3","1","1","unacc"
"507","2","1","3","3","1","3","unacc"
"508","2","1","3","3","2","1","unacc"
"509","2","1","3","3","2","2","unacc"
"510","2","1","3","3","2","3","unacc"
"511","2","1","3","3","3","1","unacc"
"512","2","1","3","3","3","2","unacc"
"513","2","1","3","3","3","3","unacc"
"515","2","1","4","1","1","2","unacc"
"516","2","1","4","1","1","3","unacc"
"517","2","1","4","1","2","1","unacc"
"519","2","1","4","1","2","3","unacc"
"520","2","1","4","1","3","1","unacc"
"521","2","1","4","1","3","2","unacc"
"522","2","1","4","1","3","3","unacc"
"523","2","1","4","2","1","1","unacc"
"524","2","1","4","2","1","2","unacc"
"525","2","1","4","2","1","3","unacc"
"526","2","1","4","2","2","1","unacc"
"528","2","1","4","2","2","3","unacc"
"529","2","1","4","2","3","1","unacc"
"530","2","1","4","2","3","2","unacc"
"531","2","1","4","2","3","3","unacc"
"532","2","1","4","3","1","1","unacc"
"533","2","1","4","3","1","2","unacc"
"534","2","1","4","3","1","3","unacc"
"535","2","1","4","3","2","1","unacc"
"536","2","1","4","3","2","2","unacc"
"537","2","1","4","3","2","3","unacc"
"538","2","1","4","3","3","1","unacc"
"540","2","1","4","3","3","3","unacc"
"541","2","2","1","1","1","1","unacc"
"542","2","2","1","1","1","2","unacc"
"543","2","2","1","1","1","3","unacc"
"545","2","2","1","1","2","2","unacc"
"546","2","2","1","1","2","3","unacc"
"547","2","2","1","1","3","1","unacc"
"548","2","2","1","1","3","2","unacc"
"550","2","2","1","2","1","1","unacc"
"551","2","2","1","2","1","2","unacc"
"552","2","2","1","2","1","3","acc"
"553","2","2","1","2","2","1","unacc"
"554","2","2","1","2","2","2","unacc"
"555","2","2","1","2","2","3","acc"
"556","2","2","1","2","3","1","unacc"
"559","2","2","1","3","1","1","unacc"
"562","2","2","1","3","2","1","unacc"
"563","2","2","1","3","2","2","unacc"
"565","2","2","1","3","3","1","unacc"
"568","2","2","2","1","1","1","unacc"
"569","2","2","2","1","1","2","unacc"
"570","2","2","2","1","1","3","unacc"
"571","2","2","2","1","2","1","unacc"
"574","2","2","2","1","3","1","unacc"
"576","2","2","2","1","3","3","unacc"
"577","2","2","2","2","1","1","unacc"
"578","2","2","2","2","1","2","unacc"
